#Position (bp)	Coverage
2568001.0	131.61832847091128
2571373.5	148.35729847494554
2575141.5	108.72937443336356
2581678.0	126.10193648334624
2588130.0	122.62598852535277
2594638.5	123.39205237515225
2601174.5	125.8610086100861
2605279.5	142.4308323563892
2608500.5	130.4638935810811
2614072.0	105.75433120024972
2620470.0	140.91391454061667
2626965.5	103.10390790669494
2633655.0	243.00413162166151
2639197.0	80.57580682609705
2642405.0	60.74964438122333
2646651.5	17.38549498746867
2653055.5	112.88963262764632
2659428.5	122.7621006010756
2665784.0	107.91281890749725
2672285.5	96.41729664348352
2676080.5	101.19877049180327
2679253.0	124.78319985099647
2685101.0	38.26647700331911
2691420.0	129.7862462367295
2697722.5	112.28153797267238
2704103.5	87.8291589363018
2709562.0	152.12294897729828
2712707.0	151.91200434546442
2716919.0	131.2187452529242
2723344.0	129.6958672411042
2735264.0	124.93279462812269
2745527.5	130.50677048070412
2748657.0	135.1697428139183
2753495.0	136.44215978653273
2759802.5	138.15951313260732
2766051.5	163.37639910457307
2773064.0	135.63350920087504
2779586.0	131.68917124976295
2782781.5	115.86672629695886
2786456.0	137.34135772749158
2792686.5	130.55329052969503
2799370.0	112.81210592686003
2806061.0	151.23186549239392
2812280.5	45.04730384242816
2816409.0	98.8061076102763
2819515.5	118.72650602409638
2824782.5	119.16134085213032
2831072.0	134.80338983050848
2837284.0	41.46427998073527
2843531.5	53.011969358442386
2849661.5	83.78211544878212
2852750.0	39.80874316939891
2855922.5	120.24488802336903
2862095.5	127.60850582147478
2868275.5	139.0961787564767
2874435.5	135.76009114583334
2880628.5	126.51201537968599
2885813.0	131.53792100799612
2888916.5	122.5298076923077
2893030.5	136.4245283018868
2899175.5	59.40687072614784
2905318.5	176.85530598958334
2911454.0	120.21266525216257
2917656.5	133.2972284166932
2921945.0	110.74684645498043
2925052.0	147.14661558109833
2930036.5	123.92550379914107
2936149.0	95.07373197212769
2942268.0	135.86138124278887
2948371.0	75.70011402508553
2954725.5	110.97869101978691
2958161.5	103.67880794701986
2961966.5	146.20073891625617
2968708.0	89.90914979757085
2974809.5	131.22594558725945
2980825.0	36.6063634849242
2986885.5	186.90846681922196
2991737.5	138.18516452872282
2994749.5	121.48687448728467
2999041.0	152.51912123677786
3005144.0	143.58340207886488
3011694.0	139.20627930103709
3018199.0	2.3128454195277173
3024190.5	503.3130405854957
3027972.5	115.38079896907216
3030957.0	124.51618745755037
3036205.5	111.03980263157895
3042264.5	131.0619410400795
3048262.5	98.33098355152735
3054216.5	115.75075630252101
3060181.0	368.1878240508446
3063568.5	116.88316582914572
3066593.0	118.23415191319246
3072173.5	132.84410968178742
3078088.0	148.7878736699882
3084053.0	111.0830421035114
3089999.5	121.40652617267165
3095931.5	124.19464882943144
3099053.0	65.78326996197718
3101995.0	142.37253157801103
3107833.5	126.30729854689564
3113787.5	97.12354750512645
3119648.0	86.33617311296643
3125623.0	111.78950830455517
3131533.0	151.5588081547308
3134443.5	69.48780487804878
3137394.0	83.86922151572435
3143280.5	123.42526032919046
3149244.5	129.09407432206228
3155180.5	122.25991861648016
3161003.5	124.62125956854558
3166742.5	44.78132635253054
3169614.0	22.384615384615383
3174012.5	136.32695810564664
3181438.0	49.46398549530245
3187328.5	139.54900245012252
3193047.5	129.57809224318657
3198750.0	36.94895264918148
3203214.5	40.35498768472906
3206053.0	40.467270481679705
3210163.5	112.86688535911603
3215898.0	123.93641007574423
3221624.0	127.27549783549783
3227349.5	116.90169133192389
3233024.0	125.86409307244844
3237958.5	123.51286939942803
3240796.0	121.77552400270453
3244371.5	81.09784908321579
3250131.0	116.55703779716093
3256097.0	35.69022185702547
3261946.5	122.77217670110439
3267784.5	125.64978554932365
3273045.0	221.9143305673918
3275934.5	209.16287878787878
3279394.5	136.3892857142857
3285020.0	128.93717926030791
3291160.5	123.3075414781297
3297327.0	96.06978783096616
3302964.0	49.42272482498654
3308121.0	124.18912080961417
3311016.0	106.08404966571156
3314322.0	129.540521114106
3320028.0	117.63861809474945
3325787.0	117.00899312290602
3331404.5	135.17235801581597
3336967.0	190.9607984175508
3342521.0	128.72147106544077
3345502.5	35.84855769230769
3348346.5	118.27048558421852
3353793.5	79.74902170046246
3359384.0	141.2128080590034
3364942.0	35.04948713334533
3370510.5	122.7905017921147
3376066.0	137.75953715422165
3379880.0	102.3996185026228
3382620.0	90.90777416494235
3387055.0	159.79260069254602
3392567.5	92.15420729505236
3399504.0	107.72081583683263
3406484.0	154.20302222222222
3412050.0	112.59814781187579
3415475.0	113.82725241995533
3418194.0	143.3880341880342
3422954.0	135.29585253456221
3428445.5	163.35426412378553
3433976.0	114.6670906778121
3439483.5	124.99455732946299
3446802.0	139.52197260273974
3451621.0	7.0682261208577
3454587.5	124.33616236162362
3460073.0	123.44514501891551
3465587.5	123.00164293537787
3471036.5	95.20645756457564
3476486.5	117.29470802919708
3481934.0	112.9023084025854
3485612.0	30.06646058732612
3488328.5	29.032932416953035
3495315.0	128.62560824348822
3503265.5	101.95867158671587
3508675.5	133.37962962962962
3514054.5	129.36692795819334
3519267.0	116.41464377343596
3522126.5	114.35276073619632
3525122.0	131.96553661734407
3530495.5	14.9166050295858
3535862.5	123.57453999248968
3541236.0	121.48588821250692
3546607.0	133.23115955647435
3551993.5	125.18525311812179
3555869.0	111.38625489343192
3558605.5	113.14618777567738
3562834.0	128.33863335226198
3568113.0	131.07071090047393
3573381.5	40.33352337514253
3578699.5	78.40640119091924
3584009.5	147.67556233320624
3589289.0	165.6318464144551
3592091.0	44.29553264604811
3594798.0	124.92758149521765
