#Insert size (bp)	insert size
815.0	1370.0
816.0	1296.0
817.0	1340.0
818.0	1350.0
819.0	1326.0
820.0	1388.0
821.0	1298.0
822.0	1282.0
823.0	1326.0
824.0	1251.0
825.0	1277.0
826.0	1397.0
827.0	1234.0
828.0	1258.0
829.0	1180.0
830.0	1175.0
831.0	1178.0
832.0	1207.0
833.0	1204.0
834.0	1210.0
835.0	1182.0
836.0	1161.0
837.0	1149.0
838.0	1093.0
839.0	1129.0
840.0	1155.0
841.0	1182.0
842.0	1170.0
843.0	1153.0
844.0	1117.0
845.0	1092.0
846.0	1177.0
847.0	1153.0
848.0	1073.0
849.0	1043.0
850.0	1087.0
851.0	1047.0
852.0	1055.0
853.0	1042.0
854.0	1086.0
855.0	1077.0
856.0	1049.0
857.0	998.0
858.0	1009.0
859.0	977.0
860.0	1028.0
861.0	1030.0
862.0	1026.0
863.0	1005.0
864.0	961.0
865.0	943.0
866.0	1081.0
867.0	1037.0
868.0	1065.0
869.0	843.0
870.0	938.0
871.0	950.0
872.0	921.0
873.0	886.0
874.0	922.0
875.0	905.0
876.0	901.0
877.0	903.0
878.0	937.0
879.0	971.0
880.0	962.0
881.0	891.0
882.0	888.0
883.0	835.0
884.0	959.0
885.0	950.0
886.0	856.0
887.0	831.0
888.0	886.0
889.0	861.0
890.0	841.0
891.0	822.0
892.0	793.0
893.0	794.0
894.0	760.0
895.0	815.0
896.0	780.0
897.0	808.0
898.0	802.0
899.0	765.0
900.0	748.0
901.0	801.0
902.0	709.0
903.0	730.0
904.0	754.0
905.0	736.0
906.0	801.0
907.0	716.0
908.0	678.0
909.0	683.0
910.0	705.0
911.0	701.0
912.0	721.0
913.0	651.0
914.0	719.0
915.0	685.0
916.0	701.0
917.0	659.0
918.0	656.0
919.0	661.0
920.0	701.0
921.0	659.0
922.0	653.0
923.0	641.0
924.0	673.0
925.0	650.0
926.0	642.0
927.0	573.0
928.0	576.0
929.0	631.0
930.0	607.0
931.0	611.0
932.0	614.0
933.0	556.0
934.0	600.0
935.0	631.0
936.0	603.0
937.0	592.0
938.0	595.0
939.0	600.0
940.0	576.0
941.0	592.0
942.0	578.0
943.0	579.0
944.0	568.0
945.0	559.0
946.0	550.0
947.0	525.0
948.0	574.0
949.0	540.0
950.0	536.0
951.0	486.0
952.0	485.0
953.0	467.0
954.0	480.0
955.0	534.0
956.0	502.0
957.0	523.0
958.0	501.0
959.0	501.0
960.0	465.0
961.0	492.0
962.0	439.0
963.0	491.0
964.0	454.0
965.0	449.0
966.0	401.0
967.0	459.0
968.0	466.0
969.0	409.0
970.0	461.0
971.0	428.0
972.0	423.0
973.0	399.0
974.0	430.0
975.0	405.0
976.0	452.0
977.0	418.0
978.0	418.0
979.0	365.0
980.0	436.0
981.0	397.0
982.0	392.0
983.0	376.0
984.0	399.0
985.0	400.0
986.0	435.0
987.0	425.0
988.0	373.0
989.0	403.0
990.0	386.0
991.0	416.0
992.0	403.0
993.0	411.0
994.0	395.0
995.0	369.0
996.0	380.0
997.0	338.0
998.0	379.0
999.0	362.0
1000.0	363.0
1001.0	263.0
1002.0	263.0
1003.0	221.0
1004.0	236.0
1005.0	246.0
1006.0	239.0
1007.0	214.0
1008.0	225.0
1009.0	247.0
1010.0	240.0
1011.0	250.0
1012.0	253.0
1013.0	234.0
1014.0	225.0
1015.0	225.0
1016.0	212.0
1017.0	220.0
1018.0	182.0
1019.0	206.0
1020.0	221.0
1021.0	234.0
1022.0	202.0
1023.0	209.0
1024.0	176.0
1025.0	184.0
1026.0	184.0
1027.0	186.0
1028.0	213.0
1029.0	188.0
1030.0	208.0
1031.0	199.0
1032.0	195.0
1033.0	171.0
1034.0	173.0
1035.0	172.0
1036.0	193.0
1037.0	204.0
1038.0	196.0
1039.0	159.0
1040.0	167.0
1041.0	172.0
1042.0	177.0
1043.0	174.0
1044.0	164.0
1045.0	155.0
1046.0	153.0
1047.0	153.0
1048.0	201.0
1049.0	187.0
1050.0	176.0
1051.0	203.0
1052.0	192.0
1053.0	195.0
1054.0	243.0
1055.0	295.0
1056.0	429.0
1057.0	671.0
1058.0	1087.0
1059.0	100.0
1060.0	84.0
1061.0	74.0
1062.0	71.0
1063.0	67.0
1064.0	75.0
1065.0	78.0
1066.0	67.0
1067.0	68.0
1068.0	68.0
1069.0	56.0
1070.0	61.0
1071.0	57.0
1072.0	69.0
1073.0	65.0
1074.0	63.0
1075.0	55.0
1076.0	67.0
1077.0	67.0
1078.0	67.0
1079.0	62.0
1080.0	56.0
1081.0	72.0
1082.0	57.0
1083.0	70.0
1084.0	72.0
1085.0	66.0
1086.0	58.0
1087.0	77.0
1088.0	64.0
1089.0	55.0
1090.0	49.0
1091.0	69.0
1092.0	54.0
1093.0	68.0
1094.0	54.0
1095.0	63.0
1096.0	57.0
1097.0	64.0
1098.0	56.0
1099.0	62.0
1100.0	67.0
1101.0	75.0
1102.0	62.0
1103.0	83.0
1104.0	72.0
1105.0	67.0
1106.0	70.0
1107.0	58.0
1108.0	65.0
1109.0	68.0
1110.0	82.0
1111.0	96.0
1112.0	65.0
1113.0	83.0
1114.0	81.0
1115.0	70.0
1116.0	88.0
1117.0	69.0
1118.0	74.0
1119.0	76.0
1120.0	75.0
1121.0	64.0
1122.0	56.0
1123.0	60.0
1124.0	74.0
1125.0	83.0
1126.0	61.0
1127.0	69.0
1128.0	75.0
1129.0	56.0
1130.0	63.0
1131.0	69.0
1132.0	71.0
1133.0	67.0
1134.0	59.0
1135.0	54.0
1136.0	67.0
1137.0	60.0
1138.0	60.0
1139.0	39.0
1140.0	47.0
1141.0	55.0
1142.0	58.0
1143.0	66.0
1144.0	56.0
1145.0	53.0
1146.0	47.0
1147.0	62.0
1148.0	55.0
1149.0	53.0
1150.0	45.0
1151.0	43.0
1152.0	51.0
1153.0	47.0
1154.0	35.0
1155.0	49.0
1156.0	45.0
1157.0	58.0
1158.0	45.0
1159.0	43.0
1160.0	52.0
1161.0	41.0
1162.0	53.0
1163.0	51.0
1164.0	39.0
1165.0	42.0
1166.0	42.0
1167.0	31.0
1168.0	33.0
1169.0	44.0
1170.0	26.0
1171.0	36.0
1172.0	36.0
1173.0	28.0
1174.0	31.0
1175.0	40.0
1176.0	28.0
1177.0	39.0
1178.0	33.0
1179.0	42.0
1180.0	26.0
1181.0	45.0
1182.0	31.0
1183.0	40.0
1184.0	28.0
1185.0	35.0
1186.0	27.0
1187.0	35.0
1188.0	34.0
1189.0	20.0
1190.0	45.0
1191.0	15.0
1192.0	27.0
1193.0	26.0
1194.0	22.0
1195.0	23.0
1196.0	23.0
1197.0	27.0
1198.0	22.0
1199.0	23.0
1200.0	17.0
1201.0	31.0
1202.0	36.0
1203.0	25.0
1204.0	22.0
1205.0	24.0
1206.0	25.0
1207.0	22.0
1208.0	22.0
1209.0	24.0
1210.0	16.0
1211.0	25.0
1212.0	19.0
1213.0	19.0
1214.0	13.0
1215.0	22.0
1216.0	11.0
1217.0	20.0
1218.0	20.0
1219.0	25.0
